run,model,split,gen_time
93,RectFlow,Y1,0.7610607999995409
93,RectFlow,Y2,0.7671558000001824
94,CWGAN,Y1,0.2286559000021952
94,CWGAN,Y2,0.1911296999969636
94,Diffusion,Y1,0.8202699999965262
94,Diffusion,Y2,0.8367495999991661
94,RectFlow,Y1,0.7699662000013632
94,RectFlow,Y2,0.7634139000001596
95,CWGAN,Y1,0.2226893999977619
95,CWGAN,Y2,0.2088226000050781
95,Diffusion,Y1,0.833516899998358
95,Diffusion,Y2,0.8247793999980786
95,RectFlow,Y1,0.7890694999950938
95,RectFlow,Y2,0.7888946000020951
96,CWGAN,Y1,0.2250818000029539
96,CWGAN,Y2,0.1996041000020341
96,Diffusion,Y1,0.8274958000038168
96,Diffusion,Y2,0.8342259999990347
96,RectFlow,Y1,0.7821260999990045
96,RectFlow,Y2,0.7645133999976679
97,CWGAN,Y1,0.2379607999973814
97,CWGAN,Y2,0.2075390000027255
97,Diffusion,Y1,0.848472400000901
97,Diffusion,Y2,0.8361619999996037
97,RectFlow,Y1,0.7826089000009233
97,RectFlow,Y2,0.764640800000052
98,CWGAN,Y1,0.2504722000012407
98,CWGAN,Y2,0.205288199998904
98,Diffusion,Y1,0.8394430999978795
98,Diffusion,Y2,0.8430905999994138
98,RectFlow,Y1,0.7724847999998019
98,RectFlow,Y2,0.790534600004321
99,CWGAN,Y1,0.2340307999984361
99,CWGAN,Y2,0.2165243999988888
99,Diffusion,Y1,0.8603709999952116
99,Diffusion,Y2,0.8438618000000133
99,RectFlow,Y1,0.7775040999986231
99,RectFlow,Y2,0.7710655000046245
100,CWGAN,Y1,0.2419749000036972
100,CWGAN,Y2,0.261024899999029
100,Diffusion,Y1,0.827428599994164
100,Diffusion,Y2,0.843599699997867
100,RectFlow,Y1,0.7824227000019164
100,RectFlow,Y2,0.7850173999977414
1,QRGMM,Y1,0.0024209
2,QRGMM,Y1,0.0025925
3,QRGMM,Y1,0.0016762
4,QRGMM,Y1,0.0016435
5,QRGMM,Y1,0.0020781
6,QRGMM,Y1,0.0014145
7,QRGMM,Y1,0.0017545
8,QRGMM,Y1,0.0014715
9,QRGMM,Y1,0.0014052
10,QRGMM,Y1,0.0015344
11,QRGMM,Y1,0.0015275
12,QRGMM,Y1,0.0014152
13,QRGMM,Y1,0.0014362
14,QRGMM,Y1,0.0015082
15,QRGMM,Y1,0.0014466
16,QRGMM,Y1,0.0014839
17,QRGMM,Y1,0.0014512
18,QRGMM,Y1,0.0014736
19,QRGMM,Y1,0.0015506
20,QRGMM,Y1,0.0013917
21,QRGMM,Y1,0.001711
22,QRGMM,Y1,0.0015612
23,QRGMM,Y1,0.00154
24,QRGMM,Y1,0.0016
25,QRGMM,Y1,0.0016428
26,QRGMM,Y1,0.0015153
27,QRGMM,Y1,0.0016371
28,QRGMM,Y1,0.0015232
29,QRGMM,Y1,0.0015026
30,QRGMM,Y1,0.0013793
31,QRGMM,Y1,0.0014582
32,QRGMM,Y1,0.0015742
33,QRGMM,Y1,0.001561
34,QRGMM,Y1,0.0019063
35,QRGMM,Y1,0.0016408
36,QRGMM,Y1,0.0014827
37,QRGMM,Y1,0.0016672
38,QRGMM,Y1,0.0013949
39,QRGMM,Y1,0.0014592
40,QRGMM,Y1,0.0016451
41,QRGMM,Y1,0.0015426
42,QRGMM,Y1,0.0015017
43,QRGMM,Y1,0.0014819
44,QRGMM,Y1,0.0015006
45,QRGMM,Y1,0.0014731
46,QRGMM,Y1,0.0015043
47,QRGMM,Y1,0.0015784
48,QRGMM,Y1,0.0013397
49,QRGMM,Y1,0.0014372
50,QRGMM,Y1,0.0014413
51,QRGMM,Y1,0.0016244
52,QRGMM,Y1,0.0018898
53,QRGMM,Y1,0.0016113
54,QRGMM,Y1,0.001417
55,QRGMM,Y1,0.0014948
56,QRGMM,Y1,0.0013539
